date,open,high,low,close,volume,pct_change,target,symbol
18-03-2008,505,525,490,502.4,257617,-0.017694789,0,ADANIPORTS
19-03-2008,530,530,495,497.75,196021,-0.009255573,0,ADANIPORTS
24-03-2008,502,505.9,465,469.2,542915,-0.057358112,0,ADANIPORTS
25-03-2008,475,505,465.05,497.15,746747,0.05956948,1,ADANIPORTS
26-03-2008,502,522,490.25,504.05,278415,0.013879111,1,ADANIPORTS
27-03-2008,496.1,521,486,516,359725,0.023707965,1,ADANIPORTS
28-03-2008,515,619.2,515,619.2,1546339,0.2,1,ADANIPORTS
31-03-2008,625,673.4,570,578.75,2134980,-0.065326227,0,ADANIPORTS
01-04-2008,585,617,584.75,592.2,728839,0.023239741,1,ADANIPORTS
02-04-2008,623.8,633.4,601,608.35,867551,0.027271192,1,ADANIPORTS
03-04-2008,611,621.4,592.1,602.3,780026,-0.009944933,0,ADANIPORTS
04-04-2008,614,614,585,593.2,386898,-0.01510875,0,ADANIPORTS
07-04-2008,595,605.3,570,593.4,466172,0.000337154,1,ADANIPORTS
08-04-2008,625,625,585.1,589.65,217730,-0.006319515,0,ADANIPORTS
09-04-2008,580.5,623,575.15,597.75,507422,0.013736963,1,ADANIPORTS
10-04-2008,615,615,586,608.6,495019,0.018151401,1,ADANIPORTS
11-04-2008,610,620,605,610.2,301522,0.002628985,1,ADANIPORTS
15-04-2008,605,650,600,642.55,732463,0.053015405,1,ADANIPORTS
16-04-2008,657,662,632,637.4,440549,-0.00801494,0,ADANIPORTS
17-04-2008,648.8,659.4,621.05,626.35,442496,-0.017336053,0,ADANIPORTS
21-04-2008,640,654.95,633.1,645.15,257175,0.030015167,1,ADANIPORTS
22-04-2008,640,673.4,638.15,665.85,574697,0.032085561,1,ADANIPORTS
23-04-2008,675,677.9,652.4,666.7,362552,0.001276564,1,ADANIPORTS
24-04-2008,668,677.85,658.1,665.25,255828,-0.002174891,0,ADANIPORTS
25-04-2008,670,718,659.1,712.15,1510614,0.070499812,1,ADANIPORTS
28-04-2008,725,741.1,703,736.45,1072156,0.034122025,1,ADANIPORTS
29-04-2008,738.25,748,711.1,740.6,600573,0.005635142,1,ADANIPORTS
30-04-2008,740,774,715,760.15,731082,0.026397516,1,ADANIPORTS
02-05-2008,766.25,788,763.65,766.65,607475,0.008550944,1,ADANIPORTS
05-05-2008,681.7,781.7,681.7,754.4,248543,-0.015978608,0,ADANIPORTS
06-05-2008,730,767.9,725.1,757.9,418643,0.004639449,1,ADANIPORTS
07-05-2008,762,774.5,745,768.5,295381,0.013986014,1,ADANIPORTS
08-05-2008,760,785,752,781.5,422630,0.01691607,1,ADANIPORTS
09-05-2008,770.45,803.75,770,783.75,657740,0.002879079,1,ADANIPORTS
12-05-2008,719.2,814.8,719.2,807.55,1245745,0.030366826,1,ADANIPORTS
13-05-2008,818.4,827.5,786.15,792.85,469124,-0.018203207,0,ADANIPORTS
14-05-2008,790,802.25,782,789.2,168459,-0.004603645,0,ADANIPORTS
15-05-2008,795,808.9,785,790.85,139664,0.002090725,1,ADANIPORTS
16-05-2008,795,800,771.2,775.6,184836,-0.01928305,0,ADANIPORTS
20-05-2008,776,904.7,770,884.05,3561137,0.139827231,1,ADANIPORTS
21-05-2008,894.55,926,869.8,901.35,2516620,0.019569029,1,ADANIPORTS
22-05-2008,897.8,914.95,868.05,884.4,1339876,-0.018805126,0,ADANIPORTS
23-05-2008,890,904,846,853.65,691813,-0.034769335,0,ADANIPORTS
26-05-2008,848.45,905.4,829,887.45,1011808,0.039594682,1,ADANIPORTS
27-05-2008,909.9,926,860.4,873.05,1280280,-0.016226266,0,ADANIPORTS
28-05-2008,873,883,835,841,617676,-0.036710383,0,ADANIPORTS
29-05-2008,851.15,867.9,829.15,834.85,447906,-0.007312723,0,ADANIPORTS
30-05-2008,843.1,847.7,760,790.4,851156,-0.053243098,0,ADANIPORTS
02-06-2008,795.5,827,760.05,765.8,849170,-0.031123482,0,ADANIPORTS
03-06-2008,741,769.9,733.35,739.4,532850,-0.034473753,0,ADANIPORTS
04-06-2008,742,755.7,692.25,702.2,383088,-0.050311063,0,ADANIPORTS
05-06-2008,701,708.9,635.1,657.55,715963,-0.063585873,0,ADANIPORTS
06-06-2008,669.9,681.25,635,639.6,568394,-0.027298304,0,ADANIPORTS
09-06-2008,620,626,591.3,612.6,461334,-0.042213884,0,ADANIPORTS
10-06-2008,599.2,618.85,580,589.25,517227,-0.038116226,0,ADANIPORTS
11-06-2008,598,631.4,595.2,607.1,768360,0.030292745,1,ADANIPORTS
12-06-2008,597.9,604.4,570,593.5,506097,-0.022401581,0,ADANIPORTS
13-06-2008,593.5,614.9,592.2,600.3,511556,0.011457456,1,ADANIPORTS
16-06-2008,610,639.8,606.05,620.9,962136,0.034316175,1,ADANIPORTS
17-06-2008,621,634.75,612,630.6,346842,0.015622483,1,ADANIPORTS
18-06-2008,630.6,659,625.2,628.9,694398,-0.002695845,0,ADANIPORTS
19-06-2008,618,654,611.55,649.15,749162,0.032199078,1,ADANIPORTS
20-06-2008,653.85,660.9,620,624.25,716333,-0.038357853,0,ADANIPORTS
23-06-2008,620,620,562.05,571.05,839833,-0.085222267,0,ADANIPORTS
24-06-2008,573.55,590,563.95,568.7,673358,-0.004115226,0,ADANIPORTS
25-06-2008,560,563,541.1,549.7,652878,-0.033409531,0,ADANIPORTS
26-06-2008,586,586,525,528.45,658769,-0.03865745,0,ADANIPORTS
27-06-2008,505,513.85,488.35,496,680667,-0.061405999,0,ADANIPORTS
30-06-2008,496,510.1,488.8,494.15,382763,-0.003729839,0,ADANIPORTS
01-07-2008,500,505,475,478.15,265866,-0.032378832,0,ADANIPORTS
02-07-2008,439,509.95,388.1,481.3,1975470,0.006587891,1,ADANIPORTS
03-07-2008,471,472,424,443.35,1008223,-0.078848951,0,ADANIPORTS
04-07-2008,449,459.9,433.1,450.4,531265,0.015901658,1,ADANIPORTS
07-07-2008,455.5,494,455.5,467.35,544362,0.037633215,1,ADANIPORTS
08-07-2008,457,478.9,425,459.45,597851,-0.016903819,0,ADANIPORTS
09-07-2008,479,551.35,471,551.35,2351043,0.200021765,1,ADANIPORTS
10-07-2008,560,602.95,560,567.75,3422840,0.029745171,1,ADANIPORTS
11-07-2008,570,580,538.15,546.35,937650,-0.037692646,0,ADANIPORTS
14-07-2008,540,572,528.35,534.9,1110512,-0.020957262,0,ADANIPORTS
15-07-2008,530,531,485,488,832634,-0.08767994,0,ADANIPORTS
16-07-2008,475,506,470.1,478.2,739517,-0.020081967,0,ADANIPORTS
17-07-2008,499,505,463,478.75,601137,0.001150146,1,ADANIPORTS
18-07-2008,485,493.4,461,467.4,861368,-0.023707572,0,ADANIPORTS
21-07-2008,470,488.8,460,476.35,682113,0.019148481,1,ADANIPORTS
22-07-2008,485,525.9,475,516.45,1505465,0.084181799,1,ADANIPORTS
23-07-2008,539.95,568.8,539.95,553.55,889636,0.071836577,1,ADANIPORTS
24-07-2008,563.3,593,555.05,584.6,1134530,0.056092494,1,ADANIPORTS
25-07-2008,575,610.9,551.15,587.8,1464874,0.005473828,1,ADANIPORTS
28-07-2008,580,606.95,580,588.45,746465,0.001105818,1,ADANIPORTS
29-07-2008,580,617,540.1,554.7,2243341,-0.057354066,0,ADANIPORTS
30-07-2008,570,585,555.05,563.9,1003847,0.016585542,1,ADANIPORTS
