date,open,high,low,close,volume,pct_change,target,symbol,MA5,MA10,MA20,Volatility,RSI,lag_close_1,lag_pct_1
26-12-2007,0.034934092,0.035979713,0.035105177,0.036245008,0.003049581,0.037257953,1.0,ADANIPORTS,0.033847146,0.033383335,0.032424469,0.004246156,0.660748707,1156.8,0.091114884
27-12-2007,0.036132004,0.036756523,0.036830398,0.036602664,0.002031959,0.009792483,1.0,ADANIPORTS,0.03468673,0.033888795,0.032813209,0.004934569,0.639344262,1199.9,0.037257953
28-12-2007,0.035365341,0.03777235,0.03593698,0.037742597,0.002419943,0.030908266,1.0,ADANIPORTS,0.035805766,0.034543119,0.033368306,0.005563973,0.667833567,1211.65,0.009792483
31-12-2007,0.037579979,0.038399773,0.038586427,0.038342242,0.001532548,0.015771355,1.0,ADANIPORTS,0.037086945,0.034971065,0.033969348,0.006522122,0.666900702,1249.1,0.030908266
01-01-2008,0.038048662,0.039116828,0.038669608,0.03919605,0.001021382,0.022107503,1.0,ADANIPORTS,0.037947104,0.03554541,0.034555856,0.007421827,0.721649485,1268.8,0.015771355
02-01-2008,0.03898453,0.039266214,0.038863695,0.039518702,0.001463047,0.008173652,1.0,ADANIPORTS,0.038607654,0.036356612,0.035084307,0.007415862,0.769278607,1296.85,0.022107503
03-01-2008,0.038827305,0.038988355,0.038591049,0.038555313,0.001049882,-0.024207427,0.0,ADANIPORTS,0.039001651,0.036975647,0.035450543,0.006966414,0.737480127,1307.45,0.008173652
04-01-2008,0.038042673,0.038393797,0.037723817,0.037476258,0.001144957,-0.027786487,0.0,ADANIPORTS,0.03894791,0.037510232,0.035697305,0.005788718,0.623905724,1275.8,-0.024207427
07-01-2008,0.036880699,0.037918749,0.037169281,0.037077509,0.001311606,-0.010561535,0.0,ADANIPORTS,0.038692718,0.038025093,0.035925391,0.003605129,0.632927246,1240.35,-0.027786487
08-01-2008,0.036880699,0.037204682,0.036245055,0.036394158,0.001102767,-0.018292931,0.0,ADANIPORTS,0.038127366,0.038173033,0.036085419,0.002967053,0.703047932,1227.25,-0.010561535
